GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Warehouse,com.example.common.web.handler,CommonExceptionHandler,2,3,0,0,1,1,1,1,1,1
Warehouse,com.example.common.constant,RuleConstant,3,0,0,0,1,0,1,0,1,0
Warehouse,com.example.inventory.business.domain,ReceivingShipmentOrder,120,15,22,0,3,6,18,3,7,3
Warehouse,com.example.inventory.business.domain,Stock,109,26,22,0,0,9,15,6,4,6
Warehouse,com.example.goods.web.controller,GoodsDeleteController,72,7,2,0,21,2,8,2,7,2
Warehouse,com.example.goods.web.controller,GoodsCreateController,56,7,2,0,18,2,8,2,7,2
Warehouse,com.example.goods.web.controller,GoodsFindController,46,7,2,0,12,2,5,2,4,2
Warehouse,com.example.goods.web.controller,GoodsMenuController,4,3,0,0,2,1,1,1,1,1
Warehouse,com.example.goods.web.controller,GoodsListController,25,7,0,0,7,2,2,2,2,2
Warehouse,com.example.goods.business.domain,Goods,145,36,30,0,0,11,19,8,4,8
Warehouse,com.example.goods.web.dto,GoodsCode,89,0,14,0,7,0,15,0,8,0
Warehouse,com.example.inventory.business.exception,NoStockException,4,8,0,0,2,4,1,2,1,2
Warehouse,com.example.inventory.business.exception,StockUnderException,8,0,0,0,4,0,2,0,2,0
Warehouse,com.example.inventory.business.exception,StockDeletedException,3,5,0,0,2,2,1,1,1,1
Warehouse,com.example.inventory.business.exception,StockNotEmptyException,3,5,0,0,2,2,1,1,1,1
Warehouse,com.example.inventory.business.exception,NoReceivingShipmentOrderLogException,3,0,0,0,1,0,1,0,1,0
Warehouse,com.example.inventory.business.exception,StockOverException,3,5,0,0,2,2,1,1,1,1
Warehouse,com.example,Application,5,3,0,0,2,1,1,1,1,1
Warehouse,com.example.inventory.business.service,InventoryServiceImpl,16,165,2,20,4,42,4,17,2,8
Warehouse,com.example.goods.business.service,GoodsServiceImpl,5,93,1,13,1,26,1,13,0,7
Warehouse,com.example.common.web.controller,MenuController,2,3,0,0,1,1,1,1,1,1
Warehouse,com.example.goods.business.exception,GoodsCodeDupulicateException,3,8,0,0,2,2,1,1,1,1
Warehouse,com.example.goods.business.exception,NoGoodsException,0,11,0,0,0,4,0,2,0,2
Warehouse,com.example.goods.business.exception,GoodsDeletedException,3,8,0,0,2,2,1,1,1,1
Warehouse,com.example.inventory.web.controller,StockDeleteController,83,7,2,0,24,2,9,2,8,2
Warehouse,com.example.inventory.web.controller,ShipmentOrderController,3,0,0,0,1,0,1,0,1,0
Warehouse,com.example.inventory.web.controller,StockFindController,46,7,2,0,12,2,5,2,4,2
Warehouse,com.example.inventory.web.controller,ReceivingOrderController,85,7,2,0,24,2,8,2,7,2
Warehouse,com.example.inventory.web.controller,StockCreateController,75,7,2,0,22,2,9,2,8,2
Warehouse,com.example.inventory.web.controller,InventoryMenuController,4,3,0,0,2,1,1,1,1,1
Warehouse,com.example.inventory.web.controller,StockListController,25,7,0,0,7,2,2,2,2,2
Warehouse,com.example.inventory.web.controller,ReceivingShipmentOrderLogController,3,0,0,0,1,0,1,0,1,0
